Class,Order,Family,coverage
Insecta,Archaeognatha,Machilidae,10.22701994
Insecta,Archaeognatha,Meinertellidae,10.89688692
Insecta,Blattodea,Anthracoblattinidae,8.625922025
Insecta,Blattodea,Archimylacridae,8.816947111
Insecta,Blattodea,Archotermopsidae,11.50127351
Insecta,Blattodea,Blaberidae,10.11489395
Insecta,Blattodea,Blattidae,10.02646704
Insecta,Blattodea,Blattulidae,10.38463856
Insecta,Blattodea,Caloblattinidae,7.750578467
Insecta,Blattodea,Corydiidae,10.02395053
Insecta,Blattodea,Cryptocercidae,9.29244021
Insecta,Blattodea,Ectobiidae,9.855920738
Insecta,Blattodea,Hemimylacridae,9.709583715
Insecta,Blattodea,Hodotermitidae,9.34874283
Insecta,Blattodea,Kalotermitidae,10.19330235
Insecta,Blattodea,Mastotermitidae,10.94443784
Insecta,Blattodea,Mesoblattinidae,11.50879621
Insecta,Blattodea,Mylacridae,9.816037638
Insecta,Blattodea,Orthomylacridae,3.503032513
Insecta,Blattodea,Poroblattinidae,9.097876627
Insecta,Blattodea,Pteridomylacridae,6.615726082
Insecta,Blattodea,Raphidiomimidae,8.248649035
Insecta,Blattodea,Rhinotermitidae,9.854066498
Insecta,Blattodea,Serritermitidae,10.84113488
Insecta,Blattodea,Spiloblattinidae,8.147932717
Insecta,Blattodea,Stolotermitidae,10.4819021
Insecta,Blattodea,Termitidae,10.09413929
Insecta,Blattodea,Tryonicidae,11.70462244
Insecta,Blattodea,Xenoblattidae,7.663715751
Insecta,Cnemidolestodea,Spanioderidae,12.68891851
Insecta,Coleoptera,Acanthocnemidae,13.4079377
Insecta,Coleoptera,Aderidae,9.563646612
Insecta,Coleoptera,Aegialiidae,10.90523087
Insecta,Coleoptera,Agyrtidae,10.14079967
Insecta,Coleoptera,Alexiidae,10.52582938
Insecta,Coleoptera,Amarygmiidae,7.924799076
Insecta,Coleoptera,Ampedidae,8.984158597
Insecta,Coleoptera,Amphizoidae,11.27987032
Insecta,Coleoptera,Anamorphidae,9.672522903
Insecta,Coleoptera,Anobiidae,9.250105478
Insecta,Coleoptera,Anthicidae,9.599835882
Insecta,Coleoptera,Anthribidae,9.516830308
Insecta,Coleoptera,Aphodiidae,9.842678416
Insecta,Coleoptera,Apionidae,9.169703367
Insecta,Coleoptera,Artematopodidae,9.175537585
Insecta,Coleoptera,Asidadae,9.176411208
Insecta,Coleoptera,Attelabidae,9.373837762
Insecta,Coleoptera,Belidae,9.043173482
Insecta,Coleoptera,Biphyllidae,9.464289137
Insecta,Coleoptera,Bolboceratidae,10.45430288
Insecta,Coleoptera,Boridae,10.06647861
Insecta,Coleoptera,Bostrichidae,10.32227017
Insecta,Coleoptera,Bothrideridae,8.325053146
Insecta,Coleoptera,Brachyceridae,9.526360181
Insecta,Coleoptera,Brentidae,10.07445679
Insecta,Coleoptera,Buprestidae,10.11857485
Insecta,Coleoptera,Byrrhidae,9.30082423
Insecta,Coleoptera,Byturidae,9.911257106
Insecta,Coleoptera,Callirhipidae,7.99043479
Insecta,Coleoptera,Cantharidae,9.288736539
Insecta,Coleoptera,Carabidae,9.778981372
Insecta,Coleoptera,Caridae,8.873099708
Insecta,Coleoptera,Cerambycidae,9.996130112
Insecta,Coleoptera,Cerophytidae,8.694947866
Insecta,Coleoptera,Cerylonidae,8.65081869
Insecta,Coleoptera,Cetoniidae,9.934855888
Insecta,Coleoptera,Chelonariidae,9.279102179
Insecta,Coleoptera,Chrysomelidae,9.930635007
Insecta,Coleoptera,Ciidae,9.397435472
Insecta,Coleoptera,Clambidae,11.24404565
Insecta,Coleoptera,Cleridae,9.760270726
Insecta,Coleoptera,Coccinellidae,9.847298965
Insecta,Coleoptera,Coptoclavidae,11.46393323
Insecta,Coleoptera,Corylophidae,9.004026313
Insecta,Coleoptera,Cryptophagidae,9.240605527
Insecta,Coleoptera,Cucujidae,9.708727652
Insecta,Coleoptera,Cupedidae,8.773317953
Insecta,Coleoptera,Curculionidae,9.696971242
Insecta,Coleoptera,Cybocephalidae,9.147922251
Insecta,Coleoptera,Dascillidae,9.644385531
Insecta,Coleoptera,Dasytidae,9.337338005
Insecta,Coleoptera,Dermestidae,9.882153281
Insecta,Coleoptera,Derodontidae,9.064870902
Insecta,Coleoptera,Discolomatidae,12.22265931
Insecta,Coleoptera,Drilidae,11.42904173
Insecta,Coleoptera,Dryophthoridae,10.7839823
Insecta,Coleoptera,Dryopidae,9.111948075
Insecta,Coleoptera,Dynastidae,10.63745022
Insecta,Coleoptera,Dytiscidae,9.679141105
Insecta,Coleoptera,Elateridae,9.910433946
Insecta,Coleoptera,Elmidae,9.385519258
Insecta,Coleoptera,Endomychidae,9.415799045
Insecta,Coleoptera,Epimetopidae,11.36700872
Insecta,Coleoptera,Erotylidae,9.617214621
Insecta,Coleoptera,Eucinetidae,10.85927192
Insecta,Coleoptera,Eucnemidae,9.641741379
Insecta,Coleoptera,Eurhynchidae,9.087583153
Insecta,Coleoptera,Euxestidae,11.84538899
Insecta,Coleoptera,Georissidae,10.04582597
Insecta,Coleoptera,Geotrupidae,9.753061792
